Product;Global;DE;US;FR;NL;BE;IT;AT;CH;BG;HR;CY;CZ;DK;EE;FI;GR;IE;LT;LU;MT;PL;PT;RO;SI;SK;ES;SE;IS;LV;NO;TR;UA;RU;GB;IN;CA;BR;AR;JP;AU;NZ;QA;SA;RS;IL;JM;KR;MX;HU;TW;ID;GL;EG;ZA;NG;MA;TN
Pydio;665;108;131;97;16;32;24;8;4;5;2;0;7;3;1;4;0;6;0;2;0;13;1;6;1;4;11;3;3;0;0;3;1;28;13;2;26;9;3;9;0;0;0;0;2;1;0;16;2;7;6;3;0;0;1;0;1;0
Cryptpad;484;166;70;43;30;0;3;14;15;502;0;0;1;0;1;33;0;0;0;1;0;7;0;1;0;0;2;10;7;0;0;10;1;15;12;1;12;1;1;2;1;0;0;0;0;0;0;1;0;1;0;2;0;0;1;0;0;0
Etherpad;541;215;102;68;13;0;4;8;15;1;1;0;1;2;0;15;0;5;0;0;0;2;0;0;1;1;6;2;0;0;1;0;1;2;9;6;9;4;2;6;0;0;0;0;0;0;0;2;1;1;3;0;0;0;0;0;0;0
OnlyOffice Docs;26680;6043;2115;2072;364;52;494;384;361;105;43;7;173;20;14;322;58;58;53;16;3;382;37;117;77;61;301;99;29;59;22;102;161;2711;333;209;393;426;154;257;175;16;3;19;20;11;6;120;135;146;76;476;0;2;56;11;23;7
HedgeDoc;730;316;77;67;22;1;4;7;5;1;0;0;2;0;0;26;0;0;0;3;0;4;4;1;0;0;6;5;0;0;2;0;0;7;10;2;12;1;0;25;4;0;0;0;1;0;0;8;1;3;15;1;0;0;0;0;0;0
Outline;2194576;76721;450972;35252;80172;4284;44162;3608;16769;10386;519;250;5592;2361;2230;6811;4676;15763;3248;421;60;11958;7492;10257;842;3050;90775;28724;696;2872;2060;13795;7650;32615;80551;48455;164720;90901;14172;112122;57802;4894;319;6401;724;12496;86;34821;16180;3234;72476;31862;3;2926;16480;4330;4797;1097
Taiga;1149;184;210;85;40;6;16;2;7;3;0;0;1;1;1;51;3;14;1;1;0;12;1;2;3;0;16;9;0;0;4;4;1;115;27;59;32;24;3;33;7;1;0;0;0;0;0;6;4;3;1;18;0;1;5;0;0;0
Redmine;19053;1954;2370;959;440;70;239;78;87;31;23;2;212;12;16;177;39;216;33;6;0;320;44;36;17;39;237;64;2;29;9;76;91;1322;240;491;167;403;125;4063;113;6;2;2;17;16;3;1000;31;149;294;65;0;23;36;2;1;6
OpenProject;1527;362;267;82;33;8;26;21;15;6;1;0;14;2;2;22;6;6;4;1;1;30;3;6;2;3;10;8;0;1;4;6;8;58;27;76;29;22;11;34;7;0;0;1;2;0;0;16;7;5;17;22;0;1;5;0;1;1
Xwiki;1881;385;404;125;46;0;21;12;23;0;0;0;16;0;0;50;1;11;0;1;0;15;1;9;0;2;8;19;5;0;0;10;6;95;72;18;23;16;3;31;10;0;4;8;0;0;0;15;2;1;2;19;0;3;4;0;0;0
Wekan;940;248;133;63;26;1;7;7;10;0;2;0;9;3;1;14;0;2;2;1;0;7;3;9;0;1;4;6;0;1;3;3;5;76;23;21;16;39;3;15;7;0;0;0;0;0;0;4;1;2;15;12;0;0;6;3;0;0
Planka;1090;289;157;49;60;0;7;2;10;1;0;0;5;3;1;52;1;2;4;1;0;18;1;4;0;3;7;14;1;2;0;4;5;154;36;16;10;17;1;11;16;2;0;0;0;0;0;2;2;3;8;18;0;0;4;0;0;0
Odoo;120396;20398;21542;8327;2014;461;710;178;649;79;89;18;73;32;26;3166;46;489;296;31;3;478;88;117;21;43;3212;404;5;51;12;276;198;427;2841;4296;2502;459;3338;573;1187;60;91;901;20;29;7;101;828;64;395;6132;0;351;519;38;2318;129
ERPNext;8914;1579;1836;142;130;17;36;4;9;16;0;2;5;42;4;289;3;33;16;1;0;15;4;9;1;3;13;69;0;1;1;12;2;19;259;1506;115;20;6;42;68;0;9;75;1;3;0;10;73;2;26;262;0;64;71;15;6;3
Dolibarr;4498;706;615;1869;70;62;44;12;46;9;0;0;6;2;0;44;3;50;1;4;0;15;3;7;0;0;142;14;0;2;0;5;1;4;62;58;63;24;16;41;37;0;0;9;0;13;0;8;26;3;9;21;0;0;29;0;42;13
SuiteCRM;4105;551;1455;154;91;39;163;21;28;7;8;0;13;2;0;69;9;80;10;1;0;43;11;16;7;2;59;18;2;5;2;10;14;61;198;160;145;52;28;33;58;5;3;2;1;7;0;18;3;8;7;22;0;0;53;1;0;1
Roundcube;68977;9761;10569;3894;1963;107;1366;368;377;560;61;28;1679;125;121;1279;191;165;301;14;3;1868;119;768;162;351;591;343;29;268;83;596;2321;4981;2209;3414;1879;1158;427;862;509;69;2;26;348;46;3;307;197;660;588;1164;0;18;513;22;14;11
Zimbra;74137;4242;9205;2799;540;133;3241;255;2438;1738;1565;31;290;33;60;641;96;50;125;41;4;1151;142;696;1494;155;407;1592;23;238;61;929;697;3487;460;2391;2058;3092;422;182;1639;25;9;36;256;34;6;115;312;1933;251;4105;0;27;2855;31;18;83
Mailcow;47068;21820;6186;2053;1460;71;236;671;347;117;8;2;357;93;32;2178;17;95;94;7;1;600;41;449;44;98;176;213;25;73;63;636;185;2492;1016;350;780;267;70;179;374;56;0;14;34;13;1;80;42;211;107;228;4;13;100;14;3;5
SOGo;11471;858;439;6981;114;17;258;90;65;27;6;0;123;6;5;77;3;13;22;4;0;88;11;64;22;18;35;27;6;19;3;25;49;817;102;36;108;50;46;120;41;5;0;2;10;19;0;1;9;98;22;28;0;0;5;0;0;2
Kopano;595;382;1;12;50;3;21;61;11;0;1;1;4;0;2;15;0;0;0;0;0;0;1;0;2;0;0;2;0;1;0;0;0;3;5;0;1;1;0;1;1;0;0;0;0;0;0;0;0;9;1;1;0;0;0;0;0;0
